timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676309359,-0.302,-0.203,-0.227,0.262,0.043,1.439,0.477,forward_head
1783676309876,-0.297,-0.206,-0.226,0.136,0.019,1.45,0.241,forward_head
1783676309959,-0.296,-0.204,-0.227,0.136,0.019,1.45,0.241,forward_head
1783676310037,-0.298,-0.207,-0.227,0.128,0.005,1.441,0.224,forward_head
1783676310215,-0.296,-0.208,-0.227,0.145,0.029,1.446,0.211,forward_head
1783676310300,-0.296,-0.208,-0.227,0.126,0.032,1.406,0.249,forward_head
1783676310362,-0.297,-0.206,-0.227,0.126,0.032,1.406,0.249,forward_head
1783676310616,-0.296,-0.207,-0.227,0.104,0.029,1.356,0.269,forward_head
1783676310674,-0.296,-0.207,-0.227,0.064,0.142,1.323,0.291,forward_head
1783676311159,-0.296,-0.206,-0.228,0.062,0.106,1.308,0.297,forward_head
1783676311279,-0.296,-0.206,-0.226,0.052,0.126,1.302,0.313,forward_head
1783676311358,-0.318,-0.226,-0.246,0.083,0.026,1.372,0.3,forward_head
1783676311420,-0.318,-0.227,-0.248,0.119,0.068,1.355,0.276,forward_head
1783676311497,-0.319,-0.232,-0.245,0.119,0.068,1.355,0.276,forward_head
1783676311575,-0.316,-0.227,-0.247,0.104,0.027,1.345,0.291,forward_head
1783676311652,-0.296,-0.207,-0.227,0.086,0.023,1.363,0.304,forward_head
1783676311729,-0.296,-0.207,-0.227,0.076,0.031,1.363,0.329,forward_head
1783676311807,-0.294,-0.205,-0.227,0.073,0.011,1.356,0.336,forward_head
1783676311899,-0.295,-0.206,-0.226,0.069,0.004,1.347,0.356,forward_head
1783676311963,-0.297,-0.206,-0.226,0.069,0.004,1.347,0.356,forward_head
1783676312057,-0.294,-0.206,-0.229,0.076,0.002,1.357,0.359,forward_head
1783676312148,-0.294,-0.205,-0.225,0.086,0.005,1.365,0.33,forward_head
1783676312211,-0.295,-0.205,-0.225,0.081,0.005,1.37,0.337,forward_head
1783676312288,-0.294,-0.206,-0.228,0.077,0.005,1.386,0.331,forward_head
1783676312367,-0.295,-0.207,-0.227,0.065,0.007,1.426,0.336,forward_head
1783676312429,-0.295,-0.207,-0.227,0.065,0.007,1.426,0.336,forward_head
1783676312505,-0.298,-0.205,-0.227,0.072,0.021,1.441,0.33,forward_head
1783676312582,-0.293,-0.204,-0.227,0.071,0.022,1.373,0.324,forward_head
1783676312659,-0.296,-0.204,-0.227,0.059,0.002,1.357,0.321,forward_head
1783676312738,-0.294,-0.206,-0.227,0.061,0.009,1.351,0.322,forward_head
1783676312816,-0.296,-0.206,-0.227,0.043,0.05,1.338,0.342,forward_head
1783676312894,-0.296,-0.206,-0.227,0.034,0.052,1.325,0.336,forward_head
1783676312972,-0.296,-0.204,-0.227,0.034,0.052,1.325,0.336,forward_head
1783676313033,-0.293,-0.206,-0.228,0.041,0.044,1.31,0.332,forward_head
1783676313112,-0.296,-0.206,-0.227,0.05,0.016,1.365,0.324,forward_head
1783676313190,-0.295,-0.206,-0.227,0.06,0.021,1.35,0.3,forward_head
1783676313253,-0.296,-0.205,-0.227,0.055,0.035,1.319,0.296,forward_head
1783676313331,-0.295,-0.206,-0.226,0.06,0.023,1.325,0.292,forward_head
1783676313407,-0.299,-0.205,-0.226,0.06,0.023,1.325,0.292,forward_head
1783676313470,-0.293,-0.205,-0.227,0.06,0.02,1.325,0.295,forward_head
1783676313547,-0.295,-0.206,-0.226,0.061,0.004,1.337,0.29,forward_head
1783676313624,-0.298,-0.206,-0.227,0.076,0.024,1.328,0.27,forward_head
1783676313686,-0.295,-0.206,-0.229,0.087,0.02,1.302,0.257,forward_head
1783676313764,-0.296,-0.204,-0.227,0.087,0.02,1.302,0.257,forward_head
1783676313841,-0.296,-0.206,-0.227,0.077,0.026,1.301,0.266,forward_head
1783676313904,-0.294,-0.207,-0.227,0.05,0.081,1.268,0.293,forward_head
1783676313982,-0.299,-0.205,-0.227,0.049,0.07,1.27,0.291,forward_head
1783676314060,-0.295,-0.206,-0.227,0.057,0.06,1.269,0.29,forward_head
1783676314122,-0.294,-0.207,-0.227,0.057,0.06,1.269,0.29,forward_head
1783676314199,-0.295,-0.206,-0.227,0.054,0.066,1.262,0.287,forward_head
1783676314276,-0.294,-0.206,-0.227,0.039,0.048,1.28,0.308,forward_head
1783676314352,-0.317,-0.226,-0.245,0.043,0.021,1.283,0.313,forward_head
1783676314431,-0.315,-0.227,-0.243,0.053,0.027,1.309,0.31,forward_head
1783676314509,-0.316,-0.226,-0.245,0.034,0.048,1.38,0.324,forward_head
1783676314586,-0.316,-0.227,-0.246,0.069,0.062,1.443,0.346,forward_head
1783676314663,-0.295,-0.208,-0.227,0.084,0.055,1.456,0.346,forward_head
1783676314723,-0.294,-0.205,-0.227,0.084,0.055,1.456,0.346,forward_head
1783676314803,-0.294,-0.21,-0.227,0.067,0.002,1.522,0.332,forward_head
1783676314881,-0.294,-0.207,-0.227,0.098,0.094,1.476,0.257,forward_head
1783676314958,-0.295,-0.208,-0.226,0.13,0.101,1.476,0.218,forward_head
1783676315019,-0.294,-0.207,-0.227,0.03,0.122,1.646,0.284,forward_head
1783676315097,-0.296,-0.206,-0.227,0.088,0.171,1.494,0.235,forward_head
1783676315174,-0.295,-0.205,-0.23,0.049,0.012,1.669,0.338,forward_head
1783676315252,-0.296,-0.208,-0.227,0.058,0.07,1.64,0.331,forward_head
1783676315330,-0.295,-0.207,-0.226,0.076,0.095,1.697,0.323,forward_head
1783676315393,-0.3,-0.207,-0.226,0.076,0.095,1.697,0.323,forward_head
1783676315455,-0.296,-0.207,-0.227,0.103,0.163,1.571,0.273,forward_head
1783676315532,-0.296,-0.206,-0.227,0.164,0.312,1.503,0.229,forward_head
1783676315610,-0.296,-0.206,-0.226,0.134,0.289,1.479,0.238,forward_head
1783676315673,-0.295,-0.208,-0.226,0.12,0.259,1.435,0.241,forward_head
1783676315751,-0.296,-0.206,-0.227,0.12,0.259,1.435,0.241,forward_head
1783676315827,-0.295,-0.208,-0.228,0.104,0.259,1.37,0.238,forward_head
1783676315890,-0.296,-0.207,-0.227,0.114,0.249,1.372,0.239,forward_head
1783676315967,-0.293,-0.207,-0.227,0.116,0.217,1.359,0.255,forward_head
1783676316044,-0.295,-0.208,-0.227,0.115,0.213,1.366,0.256,forward_head
1783676316107,-0.293,-0.206,-0.227,0.121,0.199,1.385,0.251,forward_head
1783676316185,-0.295,-0.207,-0.227,0.131,0.211,1.394,0.243,forward_head
1783676316264,-0.296,-0.207,-0.224,0.178,0.186,1.41,0.187,forward_head
1783676316326,-0.296,-0.209,-0.227,0.189,0.168,1.365,0.176,forward_head
1783676316402,-0.294,-0.207,-0.228,0.189,0.168,1.365,0.176,forward_head
1783676316479,-0.297,-0.207,-0.227,0.185,0.153,1.288,0.172,forward_head
1783676316541,-0.296,-0.206,-0.228,0.179,0.152,1.306,0.169,forward_head
1783676316618,-0.295,-0.207,-0.226,0.132,0.13,1.329,0.2,forward_head
1783676316680,-0.295,-0.205,-0.227,0.136,0.117,1.322,0.2,forward_head
1783676316743,-0.293,-0.205,-0.227,0.14,0.105,1.296,0.198,forward_head
1783676316803,-0.296,-0.208,-0.227,0.14,0.105,1.296,0.198,forward_head
1783676316881,-0.294,-0.206,-0.228,0.14,0.107,1.289,0.198,forward_head
1783676316944,-0.294,-0.207,-0.227,0.153,0.123,1.244,0.186,forward_head
1783676317006,-0.296,-0.207,-0.225,0.193,0.116,1.298,0.151,forward_head
1783676317067,-0.295,-0.206,-0.228,0.193,0.116,1.298,0.151,forward_head
1783676317130,-0.294,-0.207,-0.227,0.199,0.129,1.31,0.145,forward_head
1783676317208,-0.296,-0.206,-0.228,0.199,0.13,1.332,0.144,forward_head
1783676317286,-0.296,-0.208,-0.227,0.181,0.106,1.368,0.173,forward_head
1783676317347,-0.295,-0.207,-0.23,0.17,0.122,1.364,0.17,forward_head
1783676317408,-0.319,-0.223,-0.246,0.17,0.122,1.364,0.17,forward_head
1783676317485,-0.318,-0.226,-0.245,0.097,0.048,1.255,0.227,forward_head
1783676317547,-0.316,-0.227,-0.247,0.076,0.027,1.192,0.243,forward_head
1783676317625,-0.319,-0.226,-0.247,0.03,0.02,1.169,0.289,forward_head
1783676317703,-0.292,-0.207,-0.225,0.015,0.011,1.217,0.296,forward_head
1783676317765,-0.301,-0.207,-0.228,0.026,0.021,1.244,0.28,forward_head
