timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783347770216,-0.25,-0.047,-0.228,0.506,0.006,1.963,0.727,forward_head
1783347770279,-0.255,-0.047,-0.227,0.507,0.002,1.961,0.728,forward_head
1783347770340,-0.254,-0.047,-0.228,0.507,0.002,1.961,0.728,forward_head
1783347770402,-0.255,-0.048,-0.23,0.504,0.001,1.954,0.727,forward_head
1783347770465,-0.254,-0.05,-0.229,0.502,0.0,1.95,0.727,forward_head
1783347770543,-0.254,-0.049,-0.227,0.502,0.001,1.949,0.726,forward_head
1783347770620,-0.255,-0.05,-0.228,0.5,0.0,1.943,0.725,forward_head
1783347770699,-0.254,-0.051,-0.227,0.503,0.0,1.944,0.726,forward_head
1783347770775,-0.256,-0.047,-0.227,0.511,0.001,1.956,0.727,forward_head
1783347770837,-0.255,-0.049,-0.227,0.506,0.003,1.953,0.725,forward_head
1783347770915,-0.256,-0.048,-0.24,0.503,0.004,1.951,0.724,forward_head
1783347771212,-0.254,-0.051,-0.227,0.503,0.004,1.952,0.723,forward_head
1783347771285,-0.255,-0.052,-0.228,0.503,0.004,1.952,0.723,forward_head
1783347771347,-0.254,-0.052,-0.228,0.503,0.004,1.953,0.723,forward_head
1783347772024,-0.254,-0.045,-0.227,0.521,0.001,1.958,0.727,forward_head
1783347772716,-0.259,-0.051,-0.229,0.523,0.001,1.967,0.729,forward_head
1783347773040,-0.253,-0.038,-0.229,0.54,0.007,1.975,0.735,forward_head
1783347773136,-0.253,-0.039,-0.23,0.539,0.009,1.974,0.735,forward_head
1783347773213,-0.254,-0.037,-0.23,0.537,0.01,1.972,0.734,forward_head
1783347773289,-0.254,-0.04,-0.229,0.533,0.01,1.969,0.733,forward_head
1783347773351,-0.256,-0.04,-0.227,0.533,0.01,1.969,0.733,forward_head
1783347773410,-0.254,-0.04,-0.229,0.531,0.01,1.966,0.732,forward_head
1783347773487,-0.253,-0.041,-0.241,0.53,0.01,1.964,0.73,forward_head
1783347773565,-0.255,-0.04,-0.229,0.528,0.01,1.964,0.73,forward_head
1783347773644,-0.254,-0.04,-0.228,0.528,0.01,1.965,0.73,forward_head
1783347773720,-0.255,-0.041,-0.227,0.529,0.012,1.966,0.732,forward_head
1783347773783,-0.254,-0.042,-0.228,0.53,0.011,1.969,0.732,forward_head
1783347773861,-0.254,-0.041,-0.229,0.53,0.01,1.971,0.733,forward_head
1783347773940,-0.254,-0.041,-0.228,0.536,0.009,1.973,0.736,forward_head
1783347774000,-0.256,-0.044,-0.229,0.536,0.008,1.979,0.737,forward_head
1783347774079,-0.254,-0.039,-0.227,0.537,0.006,1.982,0.738,forward_head
1783347774157,-0.255,-0.04,-0.228,0.537,0.006,1.982,0.738,forward_head
1783347774234,-0.255,-0.045,-0.229,0.541,0.004,1.984,0.739,forward_head
1783347774313,-0.255,-0.046,-0.23,0.554,0.002,1.987,0.744,forward_head
