timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783348993858,-0.268,-0.035,-0.234,0.876,0.027,2.059,0.909,forward_head
1783348993920,-0.268,-0.035,-0.234,0.876,0.027,2.059,0.909,forward_head
1783348993983,-0.268,-0.035,-0.234,0.883,0.029,2.058,0.911,forward_head
1783348994059,-0.268,-0.035,-0.234,0.885,0.028,2.058,0.913,forward_head
1783348994137,-0.268,-0.035,-0.234,0.882,0.029,2.056,0.91,forward_head
1783348994200,-0.268,-0.035,-0.234,0.876,0.027,2.057,0.908,forward_head
1783348994263,-0.268,-0.035,-0.234,0.873,0.026,2.058,0.907,forward_head
1783348994325,-0.268,-0.035,-0.234,0.873,0.026,2.058,0.907,forward_head
1783348994387,-0.268,-0.035,-0.234,0.854,0.026,2.061,0.903,forward_head
1783348994465,-0.268,-0.035,-0.234,0.836,0.027,2.063,0.893,forward_head
1783348994541,-0.268,-0.035,-0.234,0.825,0.027,2.065,0.885,forward_head
1783348994618,-0.268,-0.035,-0.234,0.819,0.027,2.066,0.879,forward_head
1783348994681,-0.268,-0.035,-0.234,0.817,0.027,2.068,0.878,forward_head
1783348994759,-0.268,-0.035,-0.234,0.81,0.029,2.07,0.874,forward_head
1783348994837,-0.268,-0.035,-0.234,0.795,0.031,2.071,0.865,forward_head
1783348994916,-0.268,-0.035,-0.234,0.788,0.032,2.072,0.86,forward_head
1783348994978,-0.268,-0.035,-0.234,0.787,0.032,2.075,0.858,forward_head
1783348995039,-0.268,-0.035,-0.234,0.787,0.033,2.077,0.857,forward_head
1783348995102,-0.268,-0.035,-0.234,0.788,0.032,2.078,0.857,forward_head
1783348995181,-0.268,-0.035,-0.234,0.788,0.032,2.079,0.857,forward_head
1783348995259,-0.268,-0.035,-0.234,0.787,0.033,2.076,0.854,forward_head
1783348995336,-0.268,-0.035,-0.234,0.786,0.033,2.074,0.851,forward_head
1783348995399,-0.268,-0.035,-0.234,0.785,0.034,2.072,0.849,forward_head
1783348995475,-0.268,-0.035,-0.234,0.783,0.036,2.067,0.846,forward_head
1783348995553,-0.268,-0.035,-0.234,0.782,0.038,2.065,0.844,forward_head
1783348995615,-0.268,-0.035,-0.234,0.781,0.041,2.064,0.843,forward_head
1783348995690,-0.268,-0.035,-0.234,0.779,0.043,2.063,0.841,forward_head
1783348995768,-0.268,-0.035,-0.234,0.779,0.044,2.063,0.84,forward_head
1783348995830,-0.268,-0.035,-0.234,0.779,0.044,2.063,0.84,forward_head
1783348995907,-0.268,-0.035,-0.234,0.779,0.044,2.063,0.839,forward_head
1783348995986,-0.268,-0.035,-0.234,0.779,0.046,2.059,0.837,forward_head
1783348996048,-0.268,-0.035,-0.234,0.778,0.047,2.057,0.836,forward_head
1783348996125,-0.268,-0.035,-0.234,0.777,0.047,2.059,0.836,forward_head
1783348996203,-0.268,-0.035,-0.234,0.777,0.048,2.061,0.835,forward_head
1783348996266,-0.268,-0.035,-0.234,0.776,0.048,2.062,0.834,forward_head
1783348996343,-0.268,-0.035,-0.234,0.774,0.049,2.062,0.833,forward_head
1783348996435,-0.268,-0.035,-0.234,0.771,0.05,2.064,0.832,forward_head
1783348996514,-0.268,-0.035,-0.234,0.765,0.05,2.062,0.828,forward_head
1783348996592,-0.268,-0.035,-0.234,0.759,0.051,2.061,0.826,forward_head
1783348996655,-0.268,-0.035,-0.234,0.755,0.049,2.064,0.824,forward_head
1783348996718,-0.268,-0.035,-0.234,0.754,0.049,2.066,0.824,forward_head
1783348996795,-0.268,-0.035,-0.234,0.752,0.048,2.068,0.823,forward_head
1783348996858,-0.268,-0.035,-0.234,0.751,0.047,2.069,0.823,forward_head
1783348996920,-0.268,-0.035,-0.234,0.751,0.047,2.069,0.823,forward_head
1783348996998,-0.268,-0.035,-0.234,0.751,0.046,2.07,0.823,forward_head
1783348997061,-0.268,-0.035,-0.234,0.751,0.046,2.07,0.823,forward_head
1783348997123,-0.268,-0.035,-0.234,0.752,0.045,2.074,0.822,forward_head
1783348997200,-0.268,-0.035,-0.234,0.751,0.045,2.075,0.821,forward_head
1783348997262,-0.268,-0.035,-0.234,0.75,0.044,2.074,0.819,forward_head
1783348997324,-0.268,-0.035,-0.234,0.749,0.043,2.074,0.818,forward_head
1783348997386,-0.268,-0.035,-0.234,0.747,0.042,2.073,0.817,forward_head
1783348997465,-0.268,-0.035,-0.234,0.746,0.042,2.072,0.816,forward_head
1783348997541,-0.268,-0.035,-0.234,0.737,0.042,2.073,0.814,forward_head
1783348997619,-0.268,-0.035,-0.234,0.732,0.041,2.073,0.811,forward_head
1783348997698,-0.268,-0.035,-0.234,0.728,0.045,2.074,0.809,forward_head
1783348997775,-0.268,-0.035,-0.234,0.729,0.046,2.078,0.808,forward_head
1783348997852,-0.268,-0.035,-0.234,0.729,0.047,2.08,0.808,forward_head
1783348997915,-0.268,-0.035,-0.234,0.726,0.047,2.078,0.806,forward_head
1783348997991,-0.268,-0.035,-0.234,0.724,0.047,2.076,0.804,forward_head
1783348998069,-0.268,-0.035,-0.234,0.732,0.047,2.074,0.809,forward_head
1783348998128,-0.268,-0.035,-0.234,0.739,0.047,2.067,0.814,forward_head
1783348998205,-0.268,-0.035,-0.234,0.737,0.044,2.063,0.814,forward_head
1783348998283,-0.268,-0.035,-0.234,0.735,0.043,2.061,0.807,forward_head
1783348998345,-0.268,-0.035,-0.234,0.734,0.042,2.06,0.804,forward_head
1783348998422,-0.268,-0.035,-0.234,0.731,0.041,2.059,0.803,forward_head
1783348998500,-0.268,-0.035,-0.234,0.727,0.041,2.057,0.8,forward_head
1783348998564,-0.268,-0.035,-0.234,0.725,0.041,2.055,0.798,forward_head
1783348998641,-0.268,-0.035,-0.234,0.72,0.04,2.054,0.797,forward_head
1783348998719,-0.268,-0.035,-0.234,0.713,0.041,2.046,0.795,forward_head
1783348998797,-0.268,-0.035,-0.234,0.709,0.041,2.039,0.793,forward_head
1783348998873,-0.268,-0.035,-0.234,0.709,0.041,2.039,0.792,forward_head
1783348998950,-0.268,-0.035,-0.234,0.709,0.041,2.039,0.792,forward_head
1783348999026,-0.268,-0.035,-0.234,0.708,0.041,2.038,0.79,forward_head
1783348999090,-0.268,-0.035,-0.234,0.709,0.041,2.038,0.79,forward_head
1783348999152,-0.268,-0.035,-0.234,0.71,0.041,2.038,0.789,forward_head
1783348999230,-0.268,-0.035,-0.234,0.712,0.041,2.035,0.796,forward_head
1783348999291,-0.268,-0.035,-0.234,0.712,0.043,2.034,0.798,forward_head
1783348999353,-0.268,-0.035,-0.234,0.712,0.045,2.033,0.799,forward_head
1783348999416,-0.268,-0.035,-0.234,0.712,0.046,2.035,0.796,forward_head
1783348999491,-0.268,-0.035,-0.234,0.713,0.048,2.046,0.794,forward_head
1783348999569,-0.268,-0.035,-0.234,0.714,0.049,2.053,0.793,forward_head
1783348999632,-0.268,-0.035,-0.234,0.715,0.049,2.056,0.795,forward_head
1783348999710,-0.268,-0.035,-0.234,0.715,0.049,2.06,0.795,forward_head
1783348999786,-0.268,-0.035,-0.234,0.715,0.049,2.062,0.795,forward_head
1783348999849,-0.268,-0.035,-0.234,0.715,0.049,2.066,0.794,forward_head
1783348999927,-0.268,-0.035,-0.234,0.714,0.052,2.067,0.793,forward_head
1783349000005,-0.268,-0.035,-0.234,0.714,0.052,2.066,0.793,forward_head
1783349000067,-0.268,-0.035,-0.234,0.713,0.053,2.068,0.793,forward_head
1783349000145,-0.268,-0.035,-0.234,0.713,0.053,2.07,0.792,forward_head
1783349000223,-0.268,-0.035,-0.234,0.712,0.056,2.069,0.792,forward_head
1783349000285,-0.268,-0.035,-0.234,0.708,0.062,2.065,0.79,forward_head
1783349000364,-0.268,-0.035,-0.234,0.705,0.065,2.062,0.788,forward_head
1783349000440,-0.268,-0.035,-0.234,0.701,0.067,2.061,0.786,forward_head
1783349000518,-0.268,-0.035,-0.234,0.697,0.071,2.055,0.784,forward_head
1783349000597,-0.268,-0.035,-0.234,0.694,0.073,2.05,0.782,forward_head
1783349000675,-0.268,-0.035,-0.234,0.687,0.065,2.038,0.774,forward_head
1783349000736,-0.268,-0.035,-0.234,0.682,0.06,2.037,0.768,forward_head
1783349000814,-0.268,-0.035,-0.234,0.677,0.059,2.038,0.766,forward_head
1783349000905,-0.268,-0.035,-0.234,0.665,0.059,2.034,0.763,forward_head
1783349000984,-0.268,-0.035,-0.234,0.657,0.058,2.034,0.762,forward_head
1783349001061,-0.268,-0.035,-0.234,0.657,0.058,2.034,0.762,forward_head
1783349001123,-0.268,-0.035,-0.234,0.658,0.06,2.038,0.763,forward_head
1783349001186,-0.268,-0.035,-0.234,0.658,0.06,2.038,0.763,forward_head
1783349001265,-0.268,-0.035,-0.234,0.664,0.07,2.047,0.77,forward_head
1783349001325,-0.268,-0.035,-0.234,0.666,0.071,2.064,0.771,forward_head
1783349001403,-0.268,-0.035,-0.234,0.666,0.072,2.076,0.776,forward_head
1783349001481,-0.268,-0.035,-0.234,0.669,0.071,2.079,0.778,forward_head
1783349001534,-0.268,-0.035,-0.234,0.67,0.071,2.081,0.779,forward_head
1783349001605,-0.268,-0.035,-0.234,0.672,0.069,2.087,0.781,forward_head
1783349001668,-0.268,-0.035,-0.234,0.674,0.067,2.09,0.782,forward_head
1783349001747,-0.268,-0.035,-0.234,0.675,0.067,2.091,0.782,forward_head
1783349001807,-0.268,-0.035,-0.234,0.678,0.063,2.09,0.783,forward_head
1783349001884,-0.268,-0.035,-0.234,0.684,0.057,2.092,0.787,forward_head
1783349001962,-0.268,-0.035,-0.234,0.689,0.053,2.093,0.789,forward_head
1783349002023,-0.268,-0.035,-0.234,0.693,0.053,2.095,0.791,forward_head
1783349002100,-0.268,-0.035,-0.234,0.701,0.054,2.095,0.796,forward_head
1783349002181,-0.268,-0.035,-0.234,0.706,0.054,2.095,0.8,forward_head
1783349002242,-0.268,-0.035,-0.234,0.709,0.053,2.099,0.801,forward_head
1783349002303,-0.268,-0.035,-0.234,0.712,0.055,2.098,0.802,forward_head
1783349002381,-0.268,-0.035,-0.234,0.714,0.056,2.098,0.803,forward_head
1783349002458,-0.268,-0.035,-0.234,0.716,0.057,2.104,0.804,forward_head
1783349002535,-0.268,-0.035,-0.234,0.72,0.056,2.116,0.806,forward_head
1783349002613,-0.268,-0.035,-0.234,0.72,0.056,2.116,0.806,forward_head
1783349002675,-0.268,-0.035,-0.234,0.721,0.053,2.119,0.807,forward_head
1783349002754,-0.268,-0.035,-0.234,0.721,0.051,2.12,0.807,forward_head
1783349002832,-0.268,-0.035,-0.234,0.721,0.051,2.12,0.806,forward_head
1783349002895,-0.268,-0.035,-0.234,0.721,0.051,2.12,0.806,forward_head
1783349002973,-0.268,-0.035,-0.234,0.72,0.052,2.119,0.805,forward_head
1783349003052,-0.268,-0.035,-0.234,0.72,0.052,2.118,0.805,forward_head
1783349003113,-0.268,-0.035,-0.234,0.708,0.057,2.118,0.797,forward_head
1783349003192,-0.268,-0.035,-0.234,0.707,0.059,2.118,0.796,forward_head
1783349003269,-0.268,-0.035,-0.234,0.707,0.059,2.118,0.796,forward_head
1783349003332,-0.268,-0.035,-0.234,0.701,0.059,2.124,0.79,forward_head
1783349003408,-0.268,-0.035,-0.234,0.697,0.064,2.127,0.788,forward_head
1783349003486,-0.268,-0.035,-0.234,0.688,0.073,2.129,0.782,forward_head
1783349003548,-0.268,-0.035,-0.234,0.684,0.078,2.131,0.779,forward_head
1783349003627,-0.268,-0.035,-0.234,0.679,0.08,2.127,0.776,forward_head
1783349003703,-0.268,-0.035,-0.234,0.675,0.083,2.129,0.776,forward_head
1783349003767,-0.268,-0.035,-0.234,0.673,0.084,2.129,0.777,forward_head
1783349003844,-0.268,-0.035,-0.234,0.667,0.084,2.12,0.774,forward_head
1783349003923,-0.268,-0.035,-0.234,0.653,0.08,2.111,0.769,forward_head
1783349004015,-0.268,-0.035,-0.234,0.65,0.077,2.112,0.767,forward_head
1783349004107,-0.268,-0.035,-0.234,0.649,0.076,2.113,0.767,forward_head
1783349004170,-0.268,-0.035,-0.234,0.648,0.075,2.113,0.767,forward_head
1783349004233,-0.268,-0.035,-0.234,0.65,0.071,2.114,0.769,forward_head
1783349004311,-0.268,-0.035,-0.234,0.643,0.066,2.11,0.768,forward_head
1783349004373,-0.268,-0.035,-0.234,0.638,0.061,2.108,0.767,forward_head
1783349004434,-0.268,-0.035,-0.234,0.637,0.055,2.107,0.767,forward_head
1783349004513,-0.268,-0.035,-0.234,0.636,0.042,2.102,0.766,forward_head
1783349004574,-0.268,-0.035,-0.234,0.634,0.033,2.099,0.766,forward_head
1783349004638,-0.268,-0.035,-0.234,0.634,0.028,2.094,0.766,forward_head
1783349004717,-0.268,-0.035,-0.234,0.632,0.024,2.091,0.767,forward_head
1783349004777,-0.268,-0.035,-0.234,0.632,0.022,2.089,0.767,forward_head
1783349004839,-0.268,-0.035,-0.234,0.632,0.017,2.084,0.767,forward_head
1783349004902,-0.268,-0.035,-0.234,0.635,0.01,2.079,0.77,forward_head
1783349004981,-0.268,-0.035,-0.234,0.637,0.004,2.076,0.771,forward_head
1783349005057,-0.268,-0.035,-0.234,0.642,0.0,2.073,0.772,forward_head
1783349005136,-0.268,-0.035,-0.234,0.646,0.004,2.07,0.771,forward_head
1783349005198,-0.268,-0.035,-0.234,0.648,0.006,2.068,0.77,forward_head
1783349005277,-0.268,-0.035,-0.234,0.649,0.006,2.066,0.769,forward_head
1783349005356,-0.268,-0.035,-0.234,0.649,0.006,2.065,0.769,forward_head
1783349005432,-0.268,-0.035,-0.234,0.649,0.006,2.066,0.769,forward_head
