timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676291504,-0.295,-0.199,-0.226,0.733,0.032,1.782,0.802,forward_head
1783676291566,-0.295,-0.199,-0.226,0.737,0.04,1.782,0.806,forward_head
1783676291627,-0.294,-0.2,-0.226,0.739,0.042,1.781,0.807,forward_head
1783676291704,-0.295,-0.2,-0.226,0.736,0.052,1.776,0.803,forward_head
1783676291766,-0.295,-0.2,-0.226,0.734,0.068,1.76,0.8,forward_head
1783676291843,-0.301,-0.203,-0.226,0.734,0.068,1.76,0.8,forward_head
1783676291921,-0.295,-0.2,-0.227,0.734,0.069,1.756,0.8,forward_head
1783676291983,-0.295,-0.2,-0.227,0.735,0.07,1.754,0.8,forward_head
1783676292060,-0.296,-0.201,-0.227,0.741,0.076,1.742,0.805,forward_head
1783676292137,-0.295,-0.2,-0.227,0.741,0.076,1.735,0.805,forward_head
1783676292202,-0.293,-0.202,-0.227,0.741,0.076,1.735,0.805,forward_head
1783676292278,-0.294,-0.203,-0.227,0.738,0.075,1.74,0.804,forward_head
1783676292355,-0.293,-0.204,-0.228,0.728,0.07,1.741,0.8,forward_head
1783676292433,-0.294,-0.203,-0.227,0.726,0.067,1.74,0.799,forward_head
1783676292510,-0.293,-0.205,-0.228,0.72,0.068,1.736,0.795,forward_head
1783676292588,-0.295,-0.204,-0.228,0.719,0.06,1.726,0.796,forward_head
1783676292666,-0.293,-0.206,-0.227,0.723,0.063,1.719,0.799,forward_head
1783676292744,-0.295,-0.207,-0.227,0.714,0.066,1.717,0.794,forward_head
1783676292821,-0.293,-0.211,-0.227,0.711,0.067,1.717,0.793,forward_head
1783676292897,-0.293,-0.211,-0.228,0.711,0.067,1.717,0.793,forward_head
1783676292975,-0.294,-0.211,-0.227,0.705,0.049,1.708,0.793,forward_head
1783676293037,-0.294,-0.211,-0.227,0.702,0.042,1.707,0.794,forward_head
1783676293115,-0.296,-0.212,-0.228,0.697,0.031,1.697,0.789,forward_head
1783676293192,-0.294,-0.212,-0.228,0.688,0.034,1.684,0.782,forward_head
1783676293272,-0.295,-0.213,-0.227,0.683,0.034,1.675,0.777,forward_head
1783676293334,-0.292,-0.215,-0.227,0.673,0.034,1.659,0.769,forward_head
1783676293410,-0.293,-0.218,-0.225,0.656,0.032,1.64,0.758,forward_head
1783676293489,-0.297,-0.222,-0.228,0.656,0.032,1.64,0.758,forward_head
1783676293568,-0.292,-0.227,-0.23,0.629,0.023,1.616,0.744,forward_head
1783676293647,-0.296,-0.23,-0.23,0.587,0.016,1.554,0.711,forward_head
1783676293708,-0.296,-0.23,-0.23,0.558,0.023,1.521,0.687,forward_head
1783676293770,-0.293,-0.23,-0.23,0.558,0.023,1.521,0.687,forward_head
1783676293847,-0.295,-0.227,-0.229,0.479,0.02,1.501,0.633,forward_head
1783676293926,-0.295,-0.225,-0.228,0.446,0.005,1.484,0.605,forward_head
1783676294003,-0.295,-0.224,-0.228,0.384,0.019,1.437,0.56,forward_head
1783676294066,-0.292,-0.224,-0.228,0.338,0.036,1.374,0.53,forward_head
1783676294143,-0.294,-0.224,-0.228,0.27,0.015,1.325,0.479,forward_head
1783676294220,-0.296,-0.226,-0.227,0.274,0.006,1.295,0.477,forward_head
1783676294283,-0.296,-0.223,-0.225,0.274,0.006,1.295,0.477,forward_head
1783676294362,-0.292,-0.226,-0.228,0.265,0.044,1.245,0.474,forward_head
1783676294441,-0.291,-0.224,-0.227,0.208,0.062,1.188,0.423,forward_head
1783676294518,-0.292,-0.223,-0.225,0.201,0.102,1.185,0.391,forward_head
1783676294580,-0.292,-0.223,-0.225,0.115,0.009,1.199,0.4,forward_head
