timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676205959,-0.295,-0.211,-0.227,0.756,0.009,1.791,0.8,good
1783676206021,-0.293,-0.21,-0.227,0.756,0.009,1.791,0.8,good
1783676206099,-0.294,-0.211,-0.227,0.753,0.013,1.793,0.798,good
1783676206177,-0.296,-0.214,-0.227,0.753,0.009,1.793,0.797,good
1783676206241,-0.294,-0.211,-0.227,0.754,0.005,1.784,0.799,good
1783676206303,-0.295,-0.212,-0.227,0.754,0.011,1.792,0.801,good
1783676206382,-0.294,-0.212,-0.227,0.75,0.014,1.787,0.799,good
1783676206444,-0.295,-0.213,-0.225,0.748,0.015,1.788,0.798,good
1783676206506,-0.294,-0.211,-0.225,0.755,0.029,1.793,0.803,good
1783676206583,-0.297,-0.211,-0.226,0.755,0.029,1.793,0.803,good
1783676206645,-0.295,-0.212,-0.226,0.756,0.026,1.796,0.803,good
1783676206707,-0.294,-0.21,-0.226,0.755,0.029,1.792,0.801,good
1783676206785,-0.293,-0.21,-0.223,0.758,0.029,1.79,0.803,good
1783676206846,-0.294,-0.21,-0.226,0.758,0.029,1.79,0.803,good
1783676206923,-0.295,-0.21,-0.226,0.759,0.031,1.787,0.802,good
1783676207001,-0.294,-0.209,-0.226,0.755,0.034,1.782,0.798,good
1783676207060,-0.293,-0.211,-0.224,0.754,0.033,1.78,0.797,good
1783676207138,-0.296,-0.209,-0.227,0.753,0.03,1.776,0.796,good
1783676207216,-0.297,-0.208,-0.223,0.755,0.036,1.766,0.797,good
1783676207280,-0.294,-0.21,-0.226,0.762,0.046,1.767,0.804,good
1783676207359,-0.293,-0.21,-0.225,0.762,0.046,1.767,0.804,good
1783676207437,-0.295,-0.21,-0.226,0.767,0.041,1.763,0.809,good
1783676207499,-0.295,-0.212,-0.225,0.768,0.041,1.764,0.81,good
1783676207578,-0.295,-0.211,-0.226,0.77,0.037,1.773,0.813,good
1783676207656,-0.294,-0.211,-0.225,0.773,0.041,1.774,0.816,good
1783676207718,-0.294,-0.21,-0.23,0.775,0.034,1.77,0.818,good
1783676207796,-0.295,-0.213,-0.225,0.775,0.034,1.77,0.818,good
1783676207873,-0.295,-0.211,-0.224,0.773,0.032,1.75,0.818,good
1783676207936,-0.294,-0.212,-0.225,0.773,0.033,1.747,0.818,good
1783676208013,-0.292,-0.212,-0.223,0.775,0.035,1.747,0.819,good
1783676208091,-0.296,-0.212,-0.225,0.775,0.033,1.752,0.819,good
1783676208154,-0.296,-0.212,-0.225,0.775,0.033,1.752,0.819,good
1783676208230,-0.293,-0.214,-0.226,0.773,0.034,1.756,0.82,good
1783676208309,-0.295,-0.213,-0.225,0.772,0.04,1.76,0.818,good
1783676208387,-0.296,-0.214,-0.226,0.769,0.042,1.759,0.816,good
1783676208464,-0.294,-0.214,-0.226,0.771,0.042,1.759,0.817,good
1783676208542,-0.294,-0.213,-0.225,0.775,0.046,1.767,0.82,good
1783676208604,-0.295,-0.214,-0.223,0.776,0.046,1.763,0.821,good
1783676208684,-0.294,-0.214,-0.226,0.772,0.037,1.768,0.817,good
1783676208760,-0.296,-0.213,-0.225,0.772,0.037,1.768,0.817,good
1783676208852,-0.294,-0.215,-0.224,0.77,0.043,1.758,0.816,good
1783676208915,-0.295,-0.215,-0.224,0.765,0.042,1.763,0.811,good
1783676208976,-0.294,-0.212,-0.225,0.766,0.044,1.769,0.812,good
1783676209054,-0.294,-0.214,-0.226,0.767,0.042,1.766,0.814,good
1783676209115,-0.294,-0.214,-0.224,0.767,0.042,1.766,0.814,good
1783676209178,-0.295,-0.215,-0.225,0.769,0.038,1.768,0.816,good
1783676209256,-0.293,-0.213,-0.229,0.77,0.038,1.77,0.816,good
1783676209317,-0.295,-0.214,-0.226,0.77,0.036,1.773,0.816,good
1783676209379,-0.293,-0.214,-0.225,0.769,0.037,1.773,0.816,good
1783676209442,-0.296,-0.214,-0.224,0.769,0.037,1.773,0.816,good
1783676209502,-0.293,-0.215,-0.227,0.769,0.034,1.775,0.816,good
1783676209583,-0.294,-0.214,-0.23,0.771,0.033,1.775,0.817,good
1783676209644,-0.294,-0.213,-0.224,0.77,0.029,1.774,0.816,good
1783676209723,-0.293,-0.219,-0.224,0.775,0.037,1.778,0.82,good
1783676209803,-0.293,-0.214,-0.225,0.774,0.037,1.77,0.819,good
1783676209879,-0.296,-0.214,-0.227,0.774,0.037,1.77,0.819,good
1783676209941,-0.296,-0.213,-0.227,0.776,0.038,1.77,0.82,good
1783676210019,-0.293,-0.213,-0.225,0.775,0.036,1.768,0.82,good
1783676210096,-0.294,-0.213,-0.224,0.773,0.039,1.769,0.817,good
