timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676227327,-0.293,-0.216,-0.227,0.775,0.009,1.818,0.813,good
1783676227405,-0.293,-0.215,-0.226,0.772,0.003,1.817,0.81,good
1783676227482,-0.295,-0.217,-0.227,0.776,0.01,1.822,0.812,good
1783676227559,-0.299,-0.214,-0.226,0.775,0.02,1.813,0.811,good
1783676227623,-0.292,-0.213,-0.227,0.774,0.019,1.812,0.81,good
1783676227699,-0.293,-0.216,-0.227,0.777,0.018,1.815,0.812,good
1783676227777,-0.292,-0.216,-0.227,0.777,0.015,1.814,0.812,good
1783676227870,-0.293,-0.215,-0.226,0.776,0.016,1.81,0.811,good
1783676227946,-0.291,-0.214,-0.226,0.774,0.016,1.81,0.808,good
1783676228008,-0.291,-0.214,-0.226,0.774,0.016,1.81,0.808,good
1783676228087,-0.293,-0.213,-0.227,0.772,0.013,1.805,0.806,good
1783676228165,-0.292,-0.213,-0.225,0.771,0.013,1.805,0.805,good
1783676228228,-0.299,-0.214,-0.227,0.77,0.011,1.811,0.803,good
1783676228289,-0.293,-0.215,-0.226,0.77,0.011,1.811,0.803,good
1783676228365,-0.294,-0.216,-0.227,0.768,0.013,1.814,0.803,good
1783676228428,-0.293,-0.214,-0.227,0.761,0.01,1.81,0.801,good
1783676228490,-0.293,-0.214,-0.227,0.759,0.004,1.813,0.802,good
1783676228567,-0.293,-0.214,-0.227,0.755,0.006,1.801,0.799,good
1783676228631,-0.298,-0.214,-0.226,0.753,0.006,1.801,0.798,good
1783676228695,-0.293,-0.216,-0.226,0.753,0.006,1.801,0.798,good
1783676228755,-0.294,-0.215,-0.227,0.744,0.005,1.799,0.792,good
1783676228819,-0.296,-0.212,-0.23,0.744,0.0,1.81,0.794,good
1783676228896,-0.294,-0.214,-0.227,0.739,0.005,1.792,0.79,good
1783676228973,-0.294,-0.219,-0.226,0.736,0.004,1.794,0.788,good
1783676229052,-0.293,-0.215,-0.227,0.737,0.003,1.785,0.789,good
1783676229114,-0.297,-0.214,-0.226,0.737,0.003,1.785,0.789,good
1783676229194,-0.293,-0.213,-0.227,0.741,0.007,1.79,0.792,good
1783676229255,-0.293,-0.213,-0.227,0.734,0.002,1.783,0.786,good
1783676229317,-0.294,-0.214,-0.227,0.73,0.011,1.786,0.782,good
1783676229396,-0.292,-0.213,-0.227,0.736,0.018,1.785,0.786,good
1783676229461,-0.293,-0.213,-0.227,0.736,0.018,1.785,0.786,good
1783676229521,-0.293,-0.213,-0.227,0.741,0.018,1.788,0.788,good
1783676229600,-0.294,-0.213,-0.227,0.746,0.015,1.785,0.789,good
1783676229662,-0.294,-0.213,-0.226,0.746,0.015,1.785,0.789,good
1783676229739,-0.293,-0.214,-0.225,0.752,0.01,1.786,0.794,good
1783676229817,-0.295,-0.212,-0.23,0.757,0.018,1.788,0.8,good
1783676229896,-0.295,-0.212,-0.226,0.759,0.015,1.795,0.801,good
1783676229958,-0.294,-0.213,-0.226,0.766,0.024,1.802,0.808,good
1783676230020,-0.293,-0.213,-0.227,0.766,0.024,1.802,0.808,good
1783676230098,-0.293,-0.213,-0.227,0.768,0.026,1.801,0.809,good
1783676230160,-0.295,-0.212,-0.226,0.769,0.027,1.806,0.81,good
1783676230223,-0.296,-0.212,-0.227,0.77,0.026,1.808,0.81,good
1783676230282,-0.293,-0.215,-0.227,0.77,0.026,1.808,0.81,good
1783676230362,-0.292,-0.213,-0.227,0.768,0.028,1.812,0.808,good
1783676230439,-0.293,-0.212,-0.227,0.772,0.026,1.821,0.813,good
1783676230517,-0.294,-0.213,-0.226,0.777,0.023,1.827,0.818,good
1783676230578,-0.293,-0.213,-0.226,0.779,0.021,1.83,0.82,good
1783676230656,-0.293,-0.213,-0.227,0.783,0.02,1.836,0.823,good
1783676230734,-0.293,-0.213,-0.227,0.789,0.015,1.835,0.828,good
1783676230798,-0.297,-0.214,-0.227,0.793,0.005,1.834,0.831,good
1783676230874,-0.293,-0.212,-0.227,0.793,0.005,1.834,0.831,good
1783676230953,-0.293,-0.211,-0.227,0.79,0.018,1.837,0.825,good
1783676231013,-0.295,-0.213,-0.226,0.796,0.017,1.831,0.831,good
1783676231091,-0.292,-0.212,-0.227,0.785,0.026,1.831,0.819,good
1783676231169,-0.293,-0.212,-0.227,0.784,0.027,1.831,0.819,good
1783676231245,-0.294,-0.212,-0.227,0.784,0.027,1.831,0.819,good
1783676231325,-0.294,-0.211,-0.227,0.785,0.029,1.829,0.819,good
