timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783347692168,-0.249,-0.054,-0.227,0.939,0.012,1.961,0.922,good
1783347692244,-0.248,-0.041,-0.228,0.937,0.013,1.965,0.922,good
1783347692306,-0.25,-0.055,-0.226,0.938,0.012,1.963,0.922,good
1783347692368,-0.249,-0.055,-0.228,0.938,0.012,1.963,0.922,good
1783347692447,-0.252,-0.056,-0.227,0.938,0.012,1.961,0.922,good
1783347692524,-0.25,-0.058,-0.226,0.939,0.01,1.962,0.923,good
1783347692585,-0.249,-0.055,-0.227,0.939,0.01,1.962,0.923,good
1783347692661,-0.25,-0.056,-0.227,0.939,0.009,1.96,0.924,good
1783347692738,-0.25,-0.055,-0.227,0.939,0.009,1.958,0.924,good
1783347692814,-0.251,-0.056,-0.226,0.939,0.009,1.956,0.925,good
1783347692894,-0.249,-0.053,-0.227,0.939,0.012,1.957,0.925,good
1783347692972,-0.248,-0.054,-0.233,0.938,0.012,1.959,0.924,good
1783347693035,-0.248,-0.055,-0.226,0.937,0.012,1.96,0.924,good
1783347693114,-0.25,-0.054,-0.228,0.936,0.012,1.956,0.923,good
1783347693190,-0.248,-0.053,-0.226,0.935,0.013,1.955,0.923,good
1783347693252,-0.25,-0.051,-0.227,0.935,0.013,1.957,0.923,good
1783347693331,-0.251,-0.051,-0.229,0.933,0.013,1.961,0.922,good
1783347693410,-0.249,-0.05,-0.227,0.933,0.012,1.96,0.921,good
1783347693471,-0.25,-0.05,-0.225,0.933,0.012,1.959,0.921,good
1783347693550,-0.255,-0.05,-0.23,0.93,0.012,1.96,0.919,good
1783347693629,-0.249,-0.047,-0.227,0.928,0.012,1.961,0.917,good
1783347693691,-0.251,-0.047,-0.229,0.923,0.011,1.961,0.915,good
1783347693769,-0.249,-0.045,-0.227,0.923,0.011,1.961,0.915,good
1783347693847,-0.249,-0.046,-0.227,0.919,0.011,1.96,0.913,good
1783347693908,-0.251,-0.047,-0.228,0.917,0.011,1.96,0.912,good
1783347693988,-0.251,-0.05,-0.229,0.917,0.012,1.959,0.912,good
1783347694064,-0.253,-0.051,-0.226,0.917,0.012,1.959,0.912,good
1783347694127,-0.25,-0.052,-0.227,0.917,0.012,1.96,0.912,good
1783347694205,-0.249,-0.052,-0.227,0.917,0.012,1.962,0.912,good
1783347694283,-0.249,-0.052,-0.213,0.916,0.014,1.96,0.911,good
1783347694346,-0.251,-0.053,-0.229,0.916,0.014,1.96,0.911,good
