timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783348937213,-0.268,-0.035,-0.234,0.893,0.004,1.946,0.904,good
1783348937291,-0.268,-0.035,-0.234,0.893,0.004,1.946,0.904,good
1783348937354,-0.268,-0.035,-0.234,0.893,0.004,1.947,0.904,good
1783348937432,-0.268,-0.035,-0.234,0.894,0.006,1.946,0.904,good
1783348937510,-0.268,-0.035,-0.234,0.894,0.007,1.946,0.905,good
1783348937587,-0.268,-0.035,-0.234,0.894,0.008,1.949,0.905,good
1783348937664,-0.268,-0.035,-0.234,0.894,0.008,1.95,0.905,good
1783348937743,-0.268,-0.035,-0.234,0.894,0.008,1.951,0.905,good
1783348937822,-0.268,-0.035,-0.234,0.893,0.008,1.949,0.905,good
1783348937885,-0.268,-0.035,-0.234,0.893,0.008,1.948,0.905,good
1783348937965,-0.268,-0.035,-0.234,0.894,0.007,1.947,0.907,good
1783348938043,-0.268,-0.035,-0.234,0.895,0.007,1.945,0.908,good
1783348938120,-0.268,-0.035,-0.234,0.894,0.006,1.947,0.907,good
1783348938181,-0.268,-0.035,-0.234,0.894,0.006,1.948,0.907,good
1783348938258,-0.268,-0.035,-0.234,0.894,0.006,1.948,0.907,good
1783348938336,-0.268,-0.035,-0.234,0.895,0.006,1.944,0.908,good
1783348938398,-0.268,-0.035,-0.234,0.894,0.006,1.944,0.908,good
1783348938476,-0.268,-0.035,-0.234,0.894,0.006,1.944,0.908,good
1783348938554,-0.268,-0.035,-0.234,0.896,0.006,1.943,0.909,good
1783348938616,-0.268,-0.035,-0.234,0.897,0.005,1.942,0.909,good
1783348938694,-0.268,-0.035,-0.234,0.897,0.004,1.942,0.91,good
1783348938772,-0.268,-0.035,-0.234,0.896,0.005,1.941,0.909,good
1783348938833,-0.268,-0.035,-0.234,0.896,0.006,1.941,0.909,good
1783348938911,-0.268,-0.035,-0.234,0.896,0.004,1.946,0.911,good
1783348938988,-0.268,-0.035,-0.234,0.895,0.004,1.945,0.912,good
1783348939065,-0.268,-0.035,-0.234,0.894,0.004,1.945,0.912,good
1783348939141,-0.268,-0.035,-0.234,0.893,0.004,1.945,0.912,good
1783348939220,-0.268,-0.035,-0.234,0.893,0.005,1.946,0.911,good
1783348939282,-0.268,-0.035,-0.234,0.894,0.004,1.946,0.911,good
1783348939360,-0.268,-0.035,-0.234,0.894,0.005,1.946,0.911,good
1783348939437,-0.268,-0.035,-0.234,0.894,0.006,1.946,0.911,good
1783348939514,-0.268,-0.035,-0.234,0.895,0.005,1.951,0.911,good
1783348939577,-0.268,-0.035,-0.234,0.896,0.007,1.95,0.913,good
1783348939639,-0.268,-0.035,-0.234,0.897,0.008,1.949,0.914,good
1783348939716,-0.268,-0.035,-0.234,0.898,0.008,1.947,0.914,good
1783348939793,-0.268,-0.035,-0.234,0.898,0.008,1.947,0.912,good
1783348939873,-0.268,-0.035,-0.234,0.897,0.009,1.947,0.911,good
1783348939950,-0.268,-0.035,-0.234,0.898,0.009,1.945,0.911,good
1783348940011,-0.268,-0.035,-0.234,0.898,0.009,1.945,0.911,good
1783348940089,-0.268,-0.035,-0.234,0.899,0.009,1.944,0.911,good
1783348940168,-0.268,-0.035,-0.234,0.9,0.009,1.943,0.913,good
1783348940245,-0.268,-0.035,-0.234,0.9,0.009,1.942,0.913,good
1783348940306,-0.268,-0.035,-0.234,0.9,0.009,1.942,0.913,good
1783348940370,-0.268,-0.035,-0.234,0.9,0.009,1.943,0.913,good
1783348940449,-0.268,-0.035,-0.234,0.9,0.009,1.943,0.913,good
1783348940526,-0.268,-0.035,-0.234,0.9,0.008,1.942,0.913,good
1783348940603,-0.268,-0.035,-0.234,0.899,0.008,1.94,0.913,good
1783348940666,-0.268,-0.035,-0.234,0.898,0.007,1.938,0.914,good
1783348940743,-0.268,-0.035,-0.234,0.898,0.008,1.938,0.914,good
1783348940822,-0.268,-0.035,-0.234,0.898,0.007,1.94,0.913,good
1783348940884,-0.268,-0.035,-0.234,0.897,0.006,1.942,0.913,good
1783348940963,-0.268,-0.035,-0.234,0.896,0.006,1.943,0.911,good
1783348941041,-0.268,-0.035,-0.234,0.896,0.006,1.943,0.911,good
1783348941120,-0.268,-0.035,-0.234,0.897,0.004,1.942,0.914,good
1783348941182,-0.268,-0.035,-0.234,0.898,0.004,1.942,0.914,good
1783348941259,-0.268,-0.035,-0.234,0.898,0.003,1.943,0.914,good
1783348941338,-0.268,-0.035,-0.234,0.898,0.003,1.944,0.914,good
1783348941399,-0.268,-0.035,-0.234,0.898,0.002,1.945,0.914,good
1783348941477,-0.268,-0.035,-0.234,0.897,0.002,1.944,0.915,good
1783348941534,-0.268,-0.035,-0.234,0.897,0.002,1.944,0.915,good
1783348941602,-0.268,-0.035,-0.234,0.897,0.001,1.944,0.915,good
1783348941681,-0.268,-0.035,-0.234,0.897,0.002,1.942,0.915,good
1783348941759,-0.268,-0.035,-0.234,0.897,0.002,1.942,0.915,good
1783348941821,-0.268,-0.035,-0.234,0.898,0.002,1.944,0.918,good
1783348941898,-0.268,-0.035,-0.234,0.897,0.002,1.944,0.916,good
1783348941975,-0.268,-0.035,-0.234,0.897,0.001,1.944,0.916,good
1783348942035,-0.268,-0.035,-0.234,0.897,0.002,1.944,0.915,good
1783348942112,-0.268,-0.035,-0.234,0.897,0.002,1.944,0.915,good
1783348942189,-0.268,-0.035,-0.234,0.897,0.003,1.942,0.914,good
1783348942250,-0.268,-0.035,-0.234,0.896,0.003,1.941,0.913,good
1783348942330,-0.268,-0.035,-0.234,0.897,0.005,1.937,0.913,good
1783348942406,-0.268,-0.035,-0.234,0.897,0.006,1.935,0.913,good
1783348942467,-0.268,-0.035,-0.234,0.9,0.006,1.934,0.914,good
1783348942532,-0.268,-0.035,-0.234,0.899,0.006,1.932,0.914,good
1783348942624,-0.268,-0.035,-0.234,0.9,0.006,1.934,0.914,good
1783348942701,-0.268,-0.035,-0.234,0.899,0.006,1.933,0.913,good
1783348942764,-0.268,-0.035,-0.234,0.899,0.006,1.933,0.913,good
1783348942825,-0.268,-0.035,-0.234,0.899,0.006,1.933,0.913,good
1783348942903,-0.268,-0.035,-0.234,0.9,0.005,1.937,0.913,good
1783348942966,-0.268,-0.035,-0.234,0.9,0.004,1.94,0.913,good
1783348943028,-0.268,-0.035,-0.234,0.899,0.004,1.938,0.913,good
1783348943105,-0.268,-0.035,-0.234,0.898,0.004,1.938,0.913,good
1783348943168,-0.268,-0.035,-0.234,0.898,0.004,1.938,0.913,good
1783348943231,-0.268,-0.035,-0.234,0.898,0.004,1.938,0.913,good
1783348943308,-0.268,-0.035,-0.234,0.896,0.004,1.94,0.913,good
1783348943370,-0.268,-0.035,-0.234,0.896,0.004,1.94,0.913,good
1783348943434,-0.268,-0.035,-0.234,0.896,0.005,1.94,0.912,good
1783348943512,-0.268,-0.035,-0.234,0.895,0.005,1.94,0.912,good
1783348943574,-0.268,-0.035,-0.234,0.895,0.004,1.941,0.912,good
1783348943636,-0.268,-0.035,-0.234,0.895,0.003,1.942,0.913,good
1783348943699,-0.268,-0.035,-0.234,0.895,0.004,1.941,0.912,good
1783348943760,-0.268,-0.035,-0.234,0.895,0.005,1.942,0.912,good
1783348943837,-0.268,-0.035,-0.234,0.895,0.004,1.941,0.914,good
1783348943916,-0.268,-0.035,-0.234,0.896,0.004,1.94,0.916,good
1783348943978,-0.268,-0.035,-0.234,0.895,0.004,1.941,0.915,good
1783348944055,-0.268,-0.035,-0.234,0.896,0.004,1.941,0.916,good
1783348944132,-0.268,-0.035,-0.234,0.898,0.004,1.94,0.918,good
1783348944210,-0.268,-0.035,-0.234,0.898,0.004,1.94,0.918,good
1783348944288,-0.268,-0.035,-0.234,0.898,0.004,1.938,0.917,good
1783348944351,-0.268,-0.035,-0.234,0.898,0.004,1.939,0.917,good
1783348944430,-0.268,-0.035,-0.234,0.898,0.005,1.938,0.917,good
1783348944507,-0.268,-0.035,-0.234,0.898,0.008,1.935,0.917,good
