timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676271582,-0.3,-0.197,-0.231,0.684,0.181,1.709,0.751,slouch
1783676271656,-0.299,-0.197,-0.23,0.673,0.181,1.703,0.741,slouch
1783676272136,-0.297,-0.207,-0.23,0.647,0.042,1.649,0.733,slouch
1783676272653,-0.294,-0.207,-0.228,0.598,0.045,1.567,0.695,slouch
1783676273030,-0.291,-0.204,-0.228,0.604,0.137,1.559,0.682,slouch
1783676273176,-0.292,-0.206,-0.227,0.612,0.141,1.558,0.687,slouch
1783676273252,-0.288,-0.204,-0.228,0.649,0.158,1.599,0.717,slouch
1783676273330,-0.292,-0.204,-0.23,0.679,0.165,1.678,0.747,slouch
1783676273394,-0.288,-0.203,-0.228,0.679,0.165,1.678,0.747,slouch
1783676273470,-0.288,-0.202,-0.227,0.675,0.174,1.712,0.751,slouch
1783676273548,-0.288,-0.203,-0.227,0.674,0.206,1.674,0.749,slouch
1783676273626,-0.289,-0.202,-0.225,0.677,0.221,1.689,0.754,slouch
1783676273704,-0.288,-0.202,-0.226,0.66,0.24,1.69,0.741,slouch
1783676273782,-0.29,-0.2,-0.228,0.655,0.244,1.707,0.738,slouch
1783676273845,-0.289,-0.202,-0.226,0.655,0.244,1.707,0.738,slouch
1783676273906,-0.288,-0.202,-0.226,0.662,0.253,1.723,0.739,slouch
1783676273984,-0.288,-0.202,-0.225,0.661,0.244,1.746,0.738,slouch
1783676274062,-0.287,-0.2,-0.226,0.657,0.232,1.757,0.73,slouch
1783676274141,-0.287,-0.203,-0.226,0.657,0.232,1.757,0.73,slouch
1783676274202,-0.285,-0.206,-0.226,0.646,0.227,1.755,0.727,slouch
1783676274279,-0.288,-0.2,-0.226,0.651,0.226,1.724,0.723,slouch
1783676274355,-0.289,-0.204,-0.227,0.653,0.225,1.711,0.72,slouch
1783676274417,-0.286,-0.209,-0.223,0.653,0.225,1.711,0.72,slouch
1783676274495,-0.29,-0.204,-0.227,0.621,0.238,1.715,0.715,slouch
1783676274587,-0.29,-0.204,-0.228,0.602,0.234,1.701,0.7,slouch
1783676274664,-0.29,-0.204,-0.227,0.611,0.205,1.671,0.706,slouch
1783676274728,-0.289,-0.206,-0.228,0.624,0.176,1.693,0.715,slouch
1783676274789,-0.288,-0.205,-0.227,0.614,0.124,1.704,0.711,slouch
1783676274866,-0.286,-0.205,-0.229,0.614,0.124,1.704,0.711,slouch
1783676274929,-0.288,-0.206,-0.226,0.614,0.114,1.663,0.698,slouch
1783676274990,-0.292,-0.205,-0.223,0.63,0.057,1.73,0.712,slouch
1783676275069,-0.293,-0.204,-0.228,0.63,0.056,1.689,0.712,slouch
