timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783347722131,-0.25,-0.057,-0.228,0.581,0.02,1.891,0.72,slouch
1783347722194,-0.262,-0.057,-0.227,0.582,0.018,1.886,0.72,slouch
1783347722271,-0.25,-0.057,-0.228,0.582,0.016,1.862,0.72,slouch
1783347722350,-0.251,-0.058,-0.228,0.583,0.015,1.874,0.721,slouch
1783347722415,-0.252,-0.057,-0.228,0.583,0.015,1.882,0.721,slouch
1783347722491,-0.249,-0.056,-0.228,0.583,0.015,1.885,0.722,slouch
1783347722570,-0.251,-0.055,-0.228,0.584,0.012,1.885,0.723,slouch
1783347722632,-0.251,-0.056,-0.229,0.585,0.009,1.887,0.724,slouch
1783347722711,-0.25,-0.056,-0.227,0.582,0.007,1.888,0.721,slouch
1783347722787,-0.249,-0.058,-0.227,0.582,0.007,1.885,0.721,slouch
1783347722851,-0.251,-0.058,-0.228,0.582,0.006,1.883,0.721,slouch
1783347722928,-0.254,-0.06,-0.227,0.582,0.005,1.873,0.721,slouch
1783347723006,-0.251,-0.057,-0.229,0.583,0.007,1.882,0.721,slouch
1783347723068,-0.25,-0.055,-0.227,0.584,0.008,1.874,0.721,slouch
1783347723147,-0.25,-0.057,-0.227,0.584,0.008,1.874,0.721,slouch
1783347723224,-0.25,-0.059,-0.23,0.584,0.008,1.874,0.721,slouch
1783347723287,-0.25,-0.056,-0.227,0.584,0.008,1.873,0.721,slouch
1783347723363,-0.249,-0.056,-0.227,0.584,0.006,1.864,0.721,slouch
1783347723441,-0.25,-0.057,-0.226,0.584,0.006,1.861,0.721,slouch
1783347723504,-0.249,-0.057,-0.228,0.584,0.005,1.862,0.721,slouch
1783347723580,-0.25,-0.053,-0.227,0.584,0.003,1.86,0.72,slouch
1783347723657,-0.252,-0.07,-0.227,0.584,0.002,1.859,0.72,slouch
1783347723719,-0.252,-0.07,-0.227,0.585,0.001,1.863,0.721,slouch
1783347723797,-0.251,-0.056,-0.228,0.585,0.001,1.865,0.721,slouch
1783347723875,-0.248,-0.056,-0.228,0.585,0.001,1.867,0.722,slouch
1783347723938,-0.249,-0.055,-0.228,0.583,0.003,1.866,0.72,slouch
1783347724017,-0.25,-0.054,-0.227,0.581,0.002,1.87,0.718,slouch
1783347724096,-0.248,-0.055,-0.227,0.581,0.001,1.868,0.718,slouch
1783347724162,-0.249,-0.056,-0.227,0.58,0.002,1.866,0.716,slouch
1783347724236,-0.249,-0.054,-0.227,0.579,0.002,1.865,0.715,slouch
1783347724314,-0.25,-0.055,-0.227,0.58,0.0,1.863,0.716,slouch
