timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783676254296,-0.304,-0.218,-0.229,0.63,0.101,1.752,0.711,slouch
1783676254357,-0.306,-0.218,-0.232,0.629,0.104,1.753,0.713,slouch
1783676254435,-0.308,-0.219,-0.232,0.628,0.076,1.749,0.716,slouch
1783676254513,-0.304,-0.219,-0.23,0.628,0.076,1.749,0.716,slouch
1783676254591,-0.303,-0.218,-0.231,0.628,0.077,1.731,0.717,slouch
1783676254667,-0.303,-0.221,-0.23,0.637,0.079,1.662,0.723,slouch
1783676254744,-0.3,-0.224,-0.229,0.645,0.05,1.635,0.734,slouch
1783676254837,-0.299,-0.227,-0.229,0.648,0.037,1.636,0.735,slouch
1783676254899,-0.296,-0.228,-0.229,0.632,0.024,1.642,0.724,slouch
1783676254977,-0.292,-0.227,-0.226,0.617,0.047,1.619,0.709,slouch
1783676255053,-0.289,-0.22,-0.23,0.654,0.118,1.608,0.733,slouch
1783676255130,-0.289,-0.213,-0.23,0.644,0.144,1.566,0.713,slouch
1783676255193,-0.283,-0.203,-0.23,0.644,0.144,1.566,0.713,slouch
1783676255271,-0.284,-0.198,-0.231,0.678,0.196,1.582,0.74,slouch
1783676255348,-0.282,-0.196,-0.229,0.685,0.198,1.668,0.758,slouch
1783676255424,-0.28,-0.194,-0.229,0.683,0.223,1.739,0.762,slouch
1783676255485,-0.278,-0.196,-0.228,0.667,0.22,1.784,0.754,slouch
1783676255562,-0.277,-0.199,-0.227,0.641,0.236,1.821,0.725,slouch
1783676255640,-0.281,-0.201,-0.227,0.583,0.236,1.745,0.684,slouch
1783676255701,-0.285,-0.203,-0.23,0.588,0.187,1.711,0.692,slouch
1783676255778,-0.289,-0.205,-0.23,0.611,0.103,1.726,0.7,slouch
1783676255856,-0.297,-0.205,-0.231,0.587,0.086,1.704,0.679,slouch
1783676255919,-0.297,-0.205,-0.231,0.503,0.015,1.717,0.628,slouch
1783676255981,-0.298,-0.206,-0.234,0.503,0.015,1.717,0.628,slouch
1783676256058,-0.303,-0.204,-0.233,0.478,0.082,1.752,0.617,slouch
1783676256137,-0.306,-0.198,-0.233,0.424,0.084,1.653,0.585,slouch
1783676256214,-0.308,-0.202,-0.231,0.413,0.092,1.616,0.59,slouch
1783676256291,-0.303,-0.195,-0.233,0.46,0.147,1.62,0.642,slouch
1783676256384,-0.306,-0.194,-0.233,0.503,0.174,1.674,0.671,slouch
1783676256447,-0.305,-0.195,-0.233,0.514,0.176,1.709,0.677,slouch
1783676256527,-0.307,-0.192,-0.233,0.541,0.172,1.744,0.691,slouch
1783676256603,-0.305,-0.194,-0.232,0.553,0.19,1.781,0.701,slouch
1783676256666,-0.307,-0.19,-0.232,0.559,0.176,1.755,0.699,slouch
1783676256729,-0.305,-0.191,-0.23,0.559,0.176,1.755,0.699,slouch
1783676256805,-0.308,-0.188,-0.233,0.57,0.17,1.759,0.7,slouch
1783676256867,-0.314,-0.186,-0.232,0.571,0.17,1.744,0.694,slouch
1783676256945,-0.308,-0.184,-0.233,0.573,0.169,1.721,0.692,slouch
1783676257006,-0.307,-0.182,-0.231,0.575,0.167,1.718,0.695,slouch
1783676257067,-0.308,-0.182,-0.235,0.581,0.168,1.733,0.704,slouch
1783676257144,-0.309,-0.181,-0.233,0.575,0.176,1.723,0.697,slouch
1783676257222,-0.309,-0.181,-0.233,0.575,0.176,1.723,0.697,slouch
1783676257303,-0.305,-0.18,-0.233,0.58,0.208,1.775,0.708,slouch
1783676257377,-0.31,-0.18,-0.233,0.585,0.217,1.751,0.698,slouch
1783676257454,-0.307,-0.177,-0.233,0.584,0.22,1.749,0.691,slouch
1783676257516,-0.307,-0.175,-0.232,0.584,0.22,1.749,0.691,slouch
1783676257594,-0.303,-0.174,-0.236,0.598,0.214,1.726,0.69,slouch
1783676257672,-0.308,-0.169,-0.235,0.602,0.214,1.716,0.688,slouch
1783676257734,-0.307,-0.168,-0.234,0.609,0.213,1.728,0.692,slouch
1783676257811,-0.303,-0.166,-0.234,0.619,0.205,1.751,0.701,slouch
1783676257890,-0.306,-0.163,-0.234,0.64,0.225,1.73,0.711,slouch
1783676257967,-0.304,-0.161,-0.234,0.654,0.231,1.708,0.717,slouch
1783676258046,-0.304,-0.159,-0.233,0.662,0.253,1.722,0.727,slouch
1783676258126,-0.307,-0.158,-0.234,0.671,0.252,1.722,0.732,slouch
1783676258203,-0.312,-0.154,-0.236,0.665,0.252,1.707,0.723,slouch
1783676258281,-0.313,-0.154,-0.234,0.674,0.26,1.724,0.732,slouch
1783676258359,-0.317,-0.155,-0.233,0.67,0.264,1.728,0.729,slouch
1783676258421,-0.314,-0.158,-0.233,0.67,0.264,1.728,0.729,slouch
1783676258499,-0.316,-0.161,-0.233,0.663,0.238,1.737,0.724,slouch
1783676258577,-0.316,-0.16,-0.234,0.664,0.232,1.743,0.728,slouch
1783676258638,-0.304,-0.156,-0.233,0.666,0.226,1.746,0.734,slouch
1783676258716,-0.302,-0.156,-0.24,0.666,0.226,1.746,0.734,slouch
1783676258792,-0.3,-0.157,-0.235,0.661,0.211,1.754,0.731,slouch
1783676258855,-0.3,-0.163,-0.233,0.655,0.187,1.758,0.724,slouch
1783676258933,-0.3,-0.169,-0.233,0.642,0.186,1.737,0.716,slouch
1783676259009,-0.301,-0.193,-0.231,0.626,0.169,1.752,0.71,slouch
1783676259071,-0.301,-0.193,-0.231,0.626,0.169,1.752,0.71,slouch
1783676259149,-0.301,-0.211,-0.231,0.627,0.161,1.742,0.705,slouch
1783676259228,-0.3,-0.215,-0.23,0.584,0.162,1.733,0.684,slouch
1783676259306,-0.3,-0.219,-0.229,0.556,0.163,1.719,0.667,slouch
1783676259369,-0.301,-0.219,-0.23,0.562,0.132,1.706,0.679,slouch
1783676259446,-0.3,-0.22,-0.227,0.562,0.132,1.706,0.679,slouch
1783676259524,-0.304,-0.224,-0.23,0.541,0.123,1.674,0.661,slouch
1783676259602,-0.299,-0.225,-0.23,0.565,0.111,1.681,0.672,slouch
1783676259665,-0.299,-0.225,-0.229,0.553,0.089,1.615,0.661,slouch
1783676259742,-0.301,-0.227,-0.228,0.537,0.083,1.579,0.657,slouch
1783676259820,-0.297,-0.226,-0.228,0.523,0.076,1.578,0.647,slouch
1783676259898,-0.297,-0.226,-0.224,0.502,0.061,1.594,0.63,slouch
1783676259961,-0.296,-0.226,-0.224,0.502,0.061,1.594,0.63,slouch
1783676260038,-0.298,-0.225,-0.225,0.5,0.023,1.545,0.614,slouch
1783676260116,-0.297,-0.227,-0.227,0.482,0.027,1.518,0.597,slouch
1783676260194,-0.296,-0.227,-0.224,0.486,0.154,1.52,0.6,slouch
