timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
1783348961461,-0.268,-0.035,-0.234,0.857,0.014,1.975,0.912,slouch
1783348961783,-0.268,-0.035,-0.234,0.857,0.014,1.975,0.912,slouch
1783348961865,-0.268,-0.035,-0.234,0.842,0.014,1.974,0.905,slouch
1783348962187,-0.268,-0.035,-0.234,0.691,0.021,2.009,0.817,slouch
1783348962255,-0.268,-0.035,-0.234,0.674,0.018,2.0,0.803,slouch
1783348962605,-0.268,-0.035,-0.234,0.624,0.014,1.995,0.763,slouch
1783348962672,-0.268,-0.035,-0.234,0.624,0.014,1.995,0.763,slouch
1783348962750,-0.268,-0.035,-0.234,0.619,0.015,1.995,0.756,slouch
1783348962900,-0.268,-0.035,-0.234,0.614,0.016,2.005,0.755,slouch
1783348962966,-0.268,-0.035,-0.234,0.584,0.014,2.014,0.745,slouch
1783348963032,-0.268,-0.035,-0.234,0.584,0.014,2.014,0.745,slouch
1783348963118,-0.268,-0.035,-0.234,0.538,0.012,2.016,0.725,slouch
1783348963195,-0.268,-0.035,-0.234,0.519,0.009,2.014,0.713,slouch
1783348963256,-0.268,-0.035,-0.234,0.519,0.009,2.014,0.713,slouch
1783348963336,-0.268,-0.035,-0.234,0.515,0.007,2.012,0.71,slouch
1783348963413,-0.268,-0.035,-0.234,0.491,0.007,2.009,0.699,slouch
1783348963475,-0.268,-0.035,-0.234,0.486,0.006,1.991,0.693,slouch
1783348963552,-0.268,-0.035,-0.234,0.486,0.005,1.988,0.69,slouch
1783348963629,-0.268,-0.035,-0.234,0.479,0.005,1.963,0.687,slouch
1783348963693,-0.268,-0.035,-0.234,0.479,0.005,1.963,0.687,slouch
1783348963770,-0.268,-0.035,-0.234,0.475,0.005,1.952,0.684,slouch
1783348963849,-0.268,-0.035,-0.234,0.472,0.005,1.943,0.684,slouch
1783348963912,-0.268,-0.035,-0.234,0.471,0.002,1.941,0.682,slouch
1783348963990,-0.268,-0.035,-0.234,0.471,0.0,1.939,0.681,slouch
1783348964066,-0.268,-0.035,-0.234,0.471,0.007,1.936,0.685,slouch
1783348964145,-0.268,-0.035,-0.234,0.471,0.007,1.934,0.684,slouch
1783348964223,-0.268,-0.035,-0.234,0.473,0.007,1.933,0.685,slouch
1783348964301,-0.268,-0.035,-0.234,0.474,0.008,1.933,0.686,slouch
1783348964377,-0.268,-0.035,-0.234,0.474,0.009,1.937,0.686,slouch
1783348964440,-0.268,-0.035,-0.234,0.474,0.01,1.939,0.686,slouch
1783348964519,-0.268,-0.035,-0.234,0.473,0.008,1.936,0.686,slouch
1783348964597,-0.268,-0.035,-0.234,0.467,0.004,1.93,0.685,slouch
1783348964659,-0.268,-0.035,-0.234,0.465,0.005,1.927,0.683,slouch
1783348964737,-0.268,-0.035,-0.234,0.464,0.006,1.929,0.682,slouch
1783348964813,-0.268,-0.035,-0.234,0.464,0.006,1.931,0.681,slouch
1783348964876,-0.268,-0.035,-0.234,0.462,0.006,1.925,0.681,slouch
1783348964954,-0.268,-0.035,-0.234,0.462,0.007,1.925,0.681,slouch
1783348965032,-0.268,-0.035,-0.234,0.465,0.007,1.928,0.682,slouch
1783348965095,-0.268,-0.035,-0.234,0.465,0.008,1.926,0.682,slouch
1783348965172,-0.268,-0.035,-0.234,0.462,0.009,1.92,0.681,slouch
1783348965250,-0.268,-0.035,-0.234,0.46,0.009,1.916,0.68,slouch
1783348965313,-0.268,-0.035,-0.234,0.459,0.009,1.912,0.68,slouch
1783348965390,-0.268,-0.035,-0.234,0.459,0.01,1.911,0.681,slouch
1783348965468,-0.268,-0.035,-0.234,0.458,0.01,1.899,0.68,slouch
1783348965561,-0.268,-0.035,-0.234,0.459,0.015,1.905,0.68,slouch
1783348965610,-0.268,-0.035,-0.234,0.455,0.018,1.905,0.679,slouch
1783348965688,-0.268,-0.035,-0.234,0.452,0.021,1.906,0.678,slouch
1783348965767,-0.268,-0.035,-0.234,0.451,0.023,1.903,0.679,slouch
1783348965830,-0.268,-0.035,-0.234,0.449,0.023,1.906,0.68,slouch
1783348965909,-0.268,-0.035,-0.234,0.447,0.024,1.906,0.68,slouch
1783348965986,-0.268,-0.035,-0.234,0.447,0.024,1.907,0.679,slouch
1783348966049,-0.268,-0.035,-0.234,0.445,0.024,1.91,0.678,slouch
1783348966128,-0.268,-0.035,-0.234,0.44,0.024,1.898,0.675,slouch
1783348966207,-0.268,-0.035,-0.234,0.439,0.024,1.898,0.673,slouch
1783348966269,-0.268,-0.035,-0.234,0.438,0.025,1.9,0.672,slouch
1783348966348,-0.268,-0.035,-0.234,0.434,0.03,1.903,0.67,slouch
1783348966425,-0.268,-0.035,-0.234,0.433,0.03,1.905,0.669,slouch
1783348966487,-0.268,-0.035,-0.234,0.433,0.03,1.905,0.669,slouch
1783348966564,-0.268,-0.035,-0.234,0.434,0.03,1.917,0.67,slouch
1783348966642,-0.268,-0.035,-0.234,0.434,0.031,1.917,0.67,slouch
1783348966704,-0.268,-0.035,-0.234,0.434,0.031,1.918,0.67,slouch
1783348966782,-0.268,-0.035,-0.234,0.44,0.032,1.923,0.672,slouch
1783348966874,-0.268,-0.035,-0.234,0.444,0.032,1.924,0.672,slouch
1783348966952,-0.268,-0.035,-0.234,0.445,0.032,1.927,0.673,slouch
1783348967014,-0.268,-0.035,-0.234,0.446,0.033,1.929,0.674,slouch
1783348967092,-0.268,-0.035,-0.234,0.447,0.034,1.922,0.674,slouch
1783348967168,-0.268,-0.035,-0.234,0.448,0.035,1.925,0.675,slouch
1783348967246,-0.268,-0.035,-0.234,0.454,0.034,1.932,0.677,slouch
1783348967308,-0.268,-0.035,-0.234,0.46,0.032,1.937,0.68,slouch
1783348967386,-0.268,-0.035,-0.234,0.462,0.03,1.94,0.681,slouch
1783348967464,-0.268,-0.035,-0.234,0.462,0.027,1.948,0.682,slouch
1783348967542,-0.268,-0.035,-0.234,0.461,0.027,1.946,0.681,slouch
1783348967605,-0.268,-0.035,-0.234,0.462,0.022,1.947,0.681,slouch
1783348967682,-0.268,-0.035,-0.234,0.462,0.019,1.948,0.681,slouch
1783348967758,-0.268,-0.035,-0.234,0.462,0.02,1.935,0.681,slouch
1783348967821,-0.268,-0.035,-0.234,0.462,0.02,1.935,0.681,slouch
1783348967900,-0.268,-0.035,-0.234,0.462,0.02,1.927,0.682,slouch
1783348967976,-0.268,-0.035,-0.234,0.462,0.02,1.929,0.682,slouch
1783348968038,-0.268,-0.035,-0.234,0.463,0.019,1.933,0.683,slouch
1783348968115,-0.268,-0.035,-0.234,0.463,0.019,1.936,0.683,slouch
1783348968194,-0.268,-0.035,-0.234,0.461,0.019,1.933,0.683,slouch
1783348968256,-0.268,-0.035,-0.234,0.46,0.019,1.93,0.683,slouch
1783348968332,-0.268,-0.035,-0.234,0.459,0.02,1.929,0.682,slouch
1783348968412,-0.268,-0.035,-0.234,0.46,0.02,1.934,0.683,slouch
1783348968474,-0.268,-0.035,-0.234,0.46,0.02,1.934,0.683,slouch
1783348968552,-0.268,-0.035,-0.234,0.46,0.02,1.938,0.686,slouch
1783348968629,-0.268,-0.035,-0.234,0.46,0.02,1.939,0.686,slouch
1783348968690,-0.268,-0.035,-0.234,0.46,0.02,1.938,0.686,slouch
1783348968770,-0.268,-0.035,-0.234,0.459,0.02,1.936,0.685,slouch
1783348968847,-0.268,-0.035,-0.234,0.458,0.021,1.948,0.684,slouch
1783348968909,-0.268,-0.035,-0.234,0.453,0.021,1.946,0.682,slouch
1783348968970,-0.268,-0.035,-0.234,0.449,0.02,1.941,0.679,slouch
1783348969050,-0.268,-0.035,-0.234,0.45,0.022,1.945,0.68,slouch
1783348969126,-0.268,-0.035,-0.234,0.45,0.024,1.947,0.681,slouch
1783348969220,-0.268,-0.035,-0.234,0.449,0.024,1.946,0.68,slouch
1783348969300,-0.268,-0.035,-0.234,0.445,0.023,1.945,0.678,slouch
1783348969376,-0.268,-0.035,-0.234,0.442,0.023,1.944,0.676,slouch
1783348969438,-0.268,-0.035,-0.234,0.44,0.023,1.937,0.674,slouch
1783348969515,-0.268,-0.035,-0.234,0.424,0.022,1.931,0.668,slouch
1783348969608,-0.268,-0.035,-0.234,0.423,0.021,1.933,0.666,slouch
1783348969686,-0.268,-0.035,-0.234,0.416,0.02,1.925,0.661,slouch
1783348969764,-0.268,-0.035,-0.234,0.41,0.019,1.918,0.654,slouch
1783348969826,-0.268,-0.035,-0.234,0.408,0.019,1.914,0.652,slouch
1783348969889,-0.268,-0.035,-0.234,0.408,0.019,1.914,0.652,slouch
1783348969937,-0.268,-0.035,-0.234,0.389,0.015,1.913,0.64,slouch
1783348970015,-0.268,-0.035,-0.234,0.381,0.013,1.911,0.633,slouch
1783348970091,-0.268,-0.035,-0.234,0.374,0.011,1.909,0.624,slouch
1783348970169,-0.268,-0.035,-0.234,0.369,0.01,1.91,0.621,slouch
